"","fw101","fw000","fw102","fw103","fw104","fw105","fw106","fw107","fw108","fw109","fw110","fw111","fw112","fw113a","fw113b","fw113c","fw113d","fw113e","fw113f","fw113g","fw113h","fw113i","fw113x","fw113y","fw114","fw115","fw116","fw117","fw118"
"70",806,"NG7",8,1,37,2,1,0,2,3,2,3,8,"A","B","","","","","","","I","","",9,1,1,2,NA
"71",807,"NG7",8,1,43,1,1,3,1,3,4,3,96,"A","B","","","","","","","I","X","",96,1,1,1,1
"72",808,"NG7",8,1,58,1,1,4,2,3,4,3,8,"A","B","","","","","","","I","","",9,2,1,2,NA
"73",809,"NG7",8,1,32,1,1,0,1,3,3,3,8,"A","B","","","","","","","I","","",9,2,2,2,NA
"74",901,"NG7",15,1,36,2,6,0,2,3,4,1,6,"A","","","D","","","","","","X","",4,2,1,1,1
"75",902,"NG7",9,1,38,1,1,1,2,3,4,1,96,"A","B","C","","","","G","","","X","",7,2,1,1,1
"76",903,"NG7",25,1,31,1,6,0,2,3,4,2,6,"A","","","D","","","","","","","",4,2,1,1,1
"77",904,"NG7",9,1,44,2,1,2,2,3,6,2,96,"A","","","","","F","","","","X","",96,1,1,2,NA
"78",905,"NG7",9,1,34,2,5,0,2,3,6,1,1,"A","","","","","","","","","X","",96,2,1,1,1
"79",906,"NG7",9,1,36,2,1,2,2,3,4,2,1,"A","","","","","","","","","X","",96,2,1,1,1
"80",907,"NG7",15,1,35,1,1,2,2,3,2,2,96,"A","","C","D","","","","","","X","",96,1,2,1,1
"81",908,"NG7",9,2,32,1,6,0,2,3,5,2,96,"A","","","","","","","","","X","",96,2,1,2,NA
"82",909,"NG7",9,2,52,2,1,4,2,3,4,1,1,"A","","","","","","","","","X","",96,2,2,2,NA
"83",1001,"NG7",15,2,34,2,1,1,2,3,4,2,6,"A","","","D","","","","","","","",4,1,1,2,NA
"84",1002,"NG7",15,1,32,1,1,1,2,3,6,2,6,"A","","","D","","","","","","","",4,2,1,1,1
"85",1003,"NG7",12,1,34,2,6,0,2,3,4,1,96,"A","","","","","","G","","","","",7,2,1,2,NA
"86",1004,"NG7",10,2,44,2,1,5,2,3,4,2,6,"A","","","D","","","","","","","",4,2,1,1,1
"87",1005,"NG7",15,1,33,1,6,0,2,3,5,1,6,"A","","","D","","","","","","","",4,2,1,1,1
"88",1006,"NG7",10,2,47,2,1,4,2,3,2,2,96,"A","","","","","","","","","X","",96,2,2,1,1
"89",1007,"NG7",10,2,56,1,1,3,2,3,4,1,96,"A","","","","","","","","","X","",96,1,1,1,1
"90",1008,"NG7",10,2,36,1,1,1,2,3,5,2,96,"A","","","","E","","","","","X","",5,2,2,2,NA
"91",1009,"NG7",10,2,50,2,6,0,2,3,3,2,6,"A","","","D","","","","","","","",4,2,1,2,NA
"92",1101,"NG7",11,1,37,2,1,0,2,3,4,2,6,"A","","","D","","","","","","","",4,1,1,1,1
"93",1102,"NG7",11,2,34,1,6,0,2,3,4,1,6,"A","","","D","","","","","","","",4,2,1,1,1
"94",1103,"NG7",11,3,31,2,6,0,2,3,4,1,6,"A","","","D","","","","","","","",4,2,1,1,1
"95",1104,"NG7",11,1,29,1,6,0,2,3,4,2,6,"A","","","D","","","","","","","",4,1,1,2,NA
"96",1105,"NG7",11,2,38,2,1,4,2,3,4,2,6,"A","","","D","","","","","","","",4,2,2,1,1
"97",1106,"NG7",11,1,45,2,6,6,2,3,5,2,6,"A","","","D","","","","","","","",4,2,1,1,1
"98",1107,"NG7",11,2,60,2,6,0,2,3,4,2,6,"A","","","D","","","","","","","",4,1,2,2,NA
"99",1108,"NG7",15,1,54,1,1,4,1,3,0,1,6,"A","","","D","","","","","","","",4,2,1,1,1
"100",1109,"NG7",11,1,38,2,6,0,2,3,5,1,6,"A","","","D","","","","","","","",4,2,1,2,NA
"101",1110,"NG7",11,1,28,2,6,0,2,3,5,2,6,"A","","","D","","","","","","","",4,2,1,2,NA
"102",1201,"NG7",12,1,35,2,1,3,2,3,4,1,96,"A","","","","E","","G","","","","",5,2,1,1,1
"103",1202,"NG7",12,1,42,2,1,3,2,3,4,2,96,"A","","","","","","G","","","","",7,2,1,1,1
"104",1203,"NG7",12,1,23,1,6,0,2,3,4,1,96,"A","","","","","","G","","","","",7,2,2,2,NA
"105",1204,"NG7",12,1,36,1,6,0,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"106",1205,"NG7",12,1,31,2,6,0,2,3,4,1,96,"A","","","","","","","","","","",1,2,1,1,1
"107",1206,"NG7",15,2,31,2,1,2,2,3,4,1,96,"A","","","","","","G","","","","",7,2,1,1,1
"108",1207,"NG7",15,1,46,1,1,2,2,3,4,1,6,"A","","","D","","","","","","","",4,1,1,1,1
"109",1208,"NG7",12,1,37,1,1,1,2,3,6,2,96,"A","","","","","","G","","","","",7,2,1,2,NA
"110",1209,"NG7",12,1,34,2,1,3,2,3,7,2,96,"A","","","","","","G","","","","",7,2,1,2,NA
"111",1301,"NG7",13,2,35,2,1,2,2,3,4,2,10,"A","","C","","","","","","","","",3,1,1,1,1
"112",1302,"NG7",13,1,31,2,6,0,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,2
"113",1303,"NG7",15,1,31,1,6,0,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"114",1304,"NG7",13,1,50,2,1,3,2,3,3,2,10,"A","","C","","","","","","","X","",3,2,1,1,1
"115",1305,"NG7",13,1,42,2,1,4,2,3,4,2,10,"A","B","C","","","","","","","","",3,1,1,1,1
"116",1306,"NG7",31,1,38,1,1,1,2,3,6,2,10,"A","","C","","","","","","","","",3,2,2,2,NA
"117",1307,"NG7",13,2,53,1,1,2,1,3,4,1,10,"A","","C","","","","","","","","",3,1,1,1,1
"118",1308,"NG7",13,1,40,1,1,3,2,3,5,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"119",1309,"NG7",13,2,33,2,4,1,2,3,5,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"120",1401,"NG7",15,1,48,2,6,0,2,3,5,2,6,"A","","","D","","","","","","","",4,1,1,1,1
"121",1402,"NG7",14,1,40,2,1,3,2,3,4,2,6,"A","","","D","","","","","","","",4,1,1,1,1
"122",1403,"NG7",14,1,29,1,6,0,2,3,4,2,6,"A","","","D","","","","","","","",4,2,2,2,NA
"123",1404,"NG7",15,1,33,1,6,0,2,3,6,2,6,"A","","","D","","","","","","","",4,1,1,1,1
"124",1405,"NG7",4,2,40,2,1,1,2,3,4,2,6,"A","","","D","","","","","","","",4,1,1,1,1
"125",1406,"NG7",15,1,34,2,6,0,2,3,4,1,6,"A","","","D","","","","","","","",4,1,1,2,NA
